Datetime,Vessel,SPEED THROUGH WATER,SPEED OVER GROUND KNOTS,SHAFT POWER,SHAFT SPEED,SHAFT TORQUE,TRUE WIND SPEED,TRUE WIND DIRECTION,HEADING TRUE,COURSE OVER GROUND TRUE,DRAFT FWD LEVEL,DRAFT AFT LEVEL,DRAFT MIDSHIP PORT LEVEL,DRAFT MIDSHIP STBD LEVEL,Latitude,Longitude,Date,Condition,From,To,Trim,Displacement,Draft_For,Draft_Aft,wave_height,wave_peak_period,wave_period,wave_direction,ocean_current_velocity,ocean_current_direction,weather_source_datetime,weather_source_latitude,weather_source_longitude,wave_height_source_model,wave_peak_period_source_model,wave_period_source_model,wave_direction_source_model,ocean_current_velocity_source_model,ocean_current_direction_source_model
2024-09-10 01:00:00+00:00,Heide,12.502941176470587,12.448816666666668,9276.573770491805,58.568103448275885,1511.8916666666669,9.364258836529412,56.798385813813866,144.88068774695512,146.83416666666665,15.721862068965518,16.86655,17.159741666666665,16.644213675213674,67.78720652777778,-60.47186776388889,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,0.5,7.400000095367432,4.800000190734863,87.0,0.15811388194561005,161.56494140625,2024-09-10 01:00:00+00:00,67.78720652777778,-60.47186776388889,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 02:00:00+00:00,Heide,12.5,12.471908333333332,9289.55,58.574358974358994,1515.4789915966387,12.59463541101735,23.10410417674564,145.01082594522234,146.92333333333332,15.721982905982909,16.85921848739496,17.165034188034188,16.64714285714286,67.61508544444445,-60.17380451388888,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,0.7799999713897705,4.699999809265137,4.199999809265137,48.0,0.3499999940395355,180.0,2024-09-10 02:00:00+00:00,67.61508544444445,-60.17380451388888,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 03:00:00+00:00,Heide,12.676166666666663,12.551383333333336,9221.25,58.5689655172414,1502.2833333333333,14.314207464432457,8.475243239611189,145.97982450878936,146.80438596491229,15.722084033613449,16.862791666666666,17.159571428571432,16.647101694915253,67.43955430555555,-59.87638111111111,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,0.8199999928474426,4.900000095367432,4.199999809265137,47.0,0.15811388194561005,161.56494140625,2024-09-10 03:00:00+00:00,67.43955430555555,-59.87638111111111,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 04:00:00+00:00,Heide,12.566166666666668,12.3117,9263.09677419355,58.554310344827606,1510.5833333333333,14.495751533992475,354.57099564948186,149.6247834458402,150.155,15.727183333333333,16.862571428571428,17.170521739130436,16.650245762711865,67.2634507638889,-59.5997936111111,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,0.9599999785423279,4.449999809265137,4.300000190734863,43.0,0.11180340498685837,206.5649871826172,2024-09-10 04:00:00+00:00,67.2634507638889,-59.5997936111111,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 05:00:00+00:00,Heide,12.606333333333334,12.409725,9258.8,58.539473684210535,1510.126050420168,17.35082079680308,358.1223961619301,149.07511768893016,148.4008333333333,15.733692307692309,16.861466101694912,17.155777777777782,16.650083333333335,67.084732375,-59.33639530555556,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.2400000095367432,5.599999904632568,4.75,40.0,0.3162277638912201,198.43505859375,2024-09-10 05:00:00+00:00,67.084732375,-59.33639530555556,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 06:00:00+00:00,Heide,12.642,12.388745762711864,9281.9,58.53304347826088,1514.5833333333333,16.65238678261273,0.5321283552262912,143.12743145420734,142.87857142857143,15.742100840336136,16.86785,17.14889743589744,16.648500000000002,66.91610254166666,-59.03491390277778,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.3200000524520874,5.75,4.900000095367432,39.0,0.10000000149011612,180.0,2024-09-10 06:00:00+00:00,66.91610254166666,-59.03491390277778,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 07:00:00+00:00,Heide,12.392666666666669,12.558277777777777,9322.7,58.542372881355945,1520.9833333333331,16.080416273136045,1.870326871089844,148.39419717690356,148.89,15.749808333333332,16.8602268907563,17.1295593220339,16.652166666666666,66.74320759722222,-58.74337586111111,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.840000033378601,6.349999904632568,5.5,29.0,0.2121320366859436,224.99989318847656,2024-09-10 07:00:00+00:00,66.74320759722222,-58.74337586111111,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 08:00:00+00:00,Heide,12.395555555555555,12.807805084745764,9303.41935483871,58.53185840707966,1517.3739130434783,16.92855347853658,2.5502601033203405,141.31538247049036,142.94666666666666,15.772033333333331,16.86010256410256,17.128386554621848,16.659016666666666,66.56747191666666,-58.45062027777778,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.5800000429153442,6.050000190734863,5.25,31.0,0.40311288833618164,187.1249237060547,2024-09-10 08:00:00+00:00,66.56747191666666,-58.45062027777778,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 09:00:00+00:00,Heide,12.571008403361342,12.780816666666668,9262.916666666666,58.53534482758623,1510.3,16.569825967979277,1.219136214324692,142.99499802069556,145.834188034188,15.771717948717946,16.864327731092438,17.164258333333333,16.638226890756304,66.39259394444444,-58.14493027777778,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.4600000381469727,6.0,5.199999809265137,31.0,0.4527692496776581,173.659912109375,2024-09-10 09:00:00+00:00,66.39259394444444,-58.14493027777778,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 10:00:00+00:00,Heide,12.43627118644068,12.931958333333332,9322.916666666666,58.5448275862069,1520.1764705882354,16.76492063182281,10.468708185633204,143.45127012661266,145.14786324786323,15.787433333333333,16.864914529914532,17.132764705882355,16.644025,66.21591786111111,-57.84730848611111,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.4800000190734863,6.300000190734863,5.349999904632568,25.0,0.30000001192092896,180.0,2024-09-10 10:00:00+00:00,66.21591786111111,-57.84730848611111,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
